,feature,importance
0,lag_1,0.01868890436566467
1,lag_2,0.0035456269065571623
2,lag_3,0.0014161591277279707
3,lag_4,0.0019859519547976287
4,lag_5,0.0015768271272640008
5,lag_6,0.010710335645518957
6,lag_7,0.6211880745618902
7,lag_8,0.001674598263368286
8,lag_9,0.0010844293596036737
9,lag_10,0.0022568482368194114
10,lag_11,0.0010353214176044608
11,lag_12,0.0015514053563064037
12,lag_13,0.0018970951273990346
13,lag_14,0.07518182841831979
14,lag_15,0.0025320086962317212
15,lag_16,0.001386028788398241
16,lag_17,0.0014604430501333036
17,lag_18,0.0007782225278988665
18,lag_19,0.0008665235024888931
19,lag_20,0.0005672431074916384
20,lag_21,0.030503825406354178
21,lag_22,0.004981595035993616
22,lag_23,0.0014227396372082938
23,lag_24,0.0017695794704601082
24,lag_25,0.0024229166020151164
25,lag_26,0.001205506803782201
26,lag_27,0.0010831386701526423
27,lag_28,0.010371636398503416
28,lag_29,0.002588586220515315
29,lag_30,0.0011654238170670792
30,lag_31,0.0008453001202057507
31,lag_32,0.0007223265973370462
32,lag_33,0.0008977416335841985
33,lag_34,0.0017008045898616456
34,lag_35,0.004126054528929043
35,lag_36,0.0015597433622308416
36,lag_37,0.0031606088466407294
37,lag_38,0.0014549071433073342
38,lag_39,0.00123772051615881
39,lag_40,0.0019274542250809737
40,lag_41,0.000671752942305213
41,lag_42,0.0013755141864182892
42,lag_43,0.0010740319630640149
43,lag_44,0.001273159238211466
44,lag_45,0.005606729362765313
45,lag_46,0.0022533538066556043
46,lag_47,0.0006426455430275346
47,lag_48,0.0014172865913828418
48,lag_49,0.0015690145917255948
49,lag_50,0.0017902883385707944
50,lag_51,0.0027026432404739197
51,lag_52,0.0023400004876660487
52,lag_53,0.0035581967503783675
53,lag_54,0.001160249059936405
54,lag_55,0.0010884522922259496
55,lag_56,0.0017648345033651005
56,lag_57,0.0011461028536854498
57,lag_58,0.002062227263768577
58,lag_59,0.0022957925638459912
59,lag_60,0.0032389655933907514
60,lag_61,0.0019140696613220594
61,lag_62,0.0017899172384259567
62,lag_63,0.0017595547093351871
63,lag_64,0.0015383390771258345
64,lag_65,0.0009936344913315126
65,lag_66,0.0011596085311205199
66,lag_67,0.0010572768950239029
67,lag_68,0.0014870846658579329
68,lag_69,0.0018223022507693782
69,lag_70,0.004193680175034405
70,lag_71,0.0015098663269175745
71,lag_72,0.001363522347383507
72,lag_73,0.0038309586582759908
73,lag_74,0.002920764997722169
74,lag_75,0.0007065814830462473
75,lag_76,0.03399497245024109
76,lag_77,0.005352479562682898
77,lag_78,0.0010913183125478185
78,lag_79,0.002544258224741912
79,lag_80,0.0030071843863852137
80,lag_81,0.0014367544617885613
81,lag_82,0.001786153111184053
82,lag_83,0.03545349453210494
83,lag_84,0.003010020211669065
84,lag_85,0.0011065650594291273
85,lag_86,0.0023604668681295547
86,lag_87,0.0033428037353687365
87,lag_88,0.0020908680996987047
88,lag_89,0.0010045046125503954
89,lag_90,0.00880826852304987
