,feature,importance
0,lag_1,0.007434213320258871
1,lag_2,0.01176161907428897
2,lag_3,0.012483528122730693
3,lag_4,0.007373788567754829
4,lag_5,0.009774547237594463
5,lag_6,0.01622386393909905
6,lag_7,0.7375484822781793
7,lag_8,0.0031412893421111985
8,lag_9,0.0007525047877108791
9,lag_10,0.0012016100442472104
10,lag_11,0.006330472478089994
11,lag_12,0.0024054732841181053
12,lag_13,0.003569480136105255
13,lag_14,0.043587566683346304
14,lag_15,0.0013111401571548654
15,lag_16,0.0004287516455896005
16,lag_17,0.0013400504493996791
17,lag_18,0.0016615463920788983
18,lag_19,0.0013149668377994443
19,lag_20,0.0028722355211456404
20,lag_21,0.010552486107377895
21,lag_22,0.001891385659903649
22,lag_23,0.0002831548896812858
23,lag_24,0.0008428119046636782
24,lag_25,0.002130488610438143
25,lag_26,0.0028012472702908845
26,lag_27,0.0030339877884904567
27,lag_28,0.007159721327831695
28,lag_29,0.0006590321259342482
29,lag_30,0.003160846040471199
30,lag_31,0.001120540087930392
31,lag_32,0.0021348838804033437
32,lag_33,0.0012677648976976079
33,lag_34,0.0006567943917426513
34,lag_35,0.0015755483472794768
35,lag_36,0.002463197480099124
36,lag_37,0.00017528998512676404
37,lag_38,0.0011220837826618267
38,lag_39,0.0009062944601553012
39,lag_40,0.0011795744823196329
40,lag_41,0.0012692604108813762
41,lag_42,0.0025289000817329387
42,lag_43,0.0008459624259997159
43,lag_44,0.0003848592709266576
44,lag_45,0.0007714558718030826
45,lag_46,0.0012653926640750369
46,lag_47,0.0009547079778969466
47,lag_48,0.0008600473480851831
48,lag_49,0.0010198582193052745
49,lag_50,0.0013250064551523402
50,lag_51,0.0001716624947913745
51,lag_52,0.00045206442931912676
52,lag_53,0.0019376963210826002
53,lag_54,0.0007533278129958589
54,lag_55,0.0019624769647899987
55,lag_56,0.002241302042630767
56,lag_57,0.000978320634285389
57,lag_58,0.00021444169712922685
58,lag_59,0.0005691994631090298
59,lag_60,0.0006897264821081481
60,lag_61,0.0017797254755291174
61,lag_62,0.0015403488200391375
62,lag_63,0.002839784167669889
63,lag_64,0.0008055539787942712
64,lag_65,0.00043425647129073994
65,lag_66,0.0010338534049213323
66,lag_67,0.0009463530821673644
67,lag_68,0.0009074227646594447
68,lag_69,0.003803061294110513
69,lag_70,0.001607077772889558
70,lag_71,0.0012501430614575851
71,lag_72,0.00038642610170248036
72,lag_73,0.0009348260104689235
73,lag_74,0.0012585396757160893
74,lag_75,0.0008068828989175684
75,lag_76,0.0034824116746298337
76,lag_77,0.004926195076918737
77,lag_78,0.0009603764538203102
78,lag_79,0.0003927839616757872
79,lag_80,0.0005820062903307007
80,lag_81,0.000951399967155975
81,lag_82,0.0009101509775807489
82,lag_83,0.004925962345164208
83,lag_84,0.004386660182124814
84,lag_85,0.0008273944791892903
85,lag_86,0.00021107017418304193
86,lag_87,0.0009551685990307835
87,lag_88,0.0009039119566002043
88,lag_89,0.000933279686719227
89,lag_90,0.01548704030713989
