,feature,importance
0,lag_1,0.004842100704896457
1,lag_2,0.001090008220658002
2,lag_3,0.0015741905099748408
3,lag_4,0.005580057466585891
4,lag_5,0.013711549085678579
5,lag_6,0.004809232632246081
6,lag_7,0.35789235702230293
7,lag_8,0.023298804398374697
8,lag_9,0.0005457977038010209
9,lag_10,0.00041751532304443677
10,lag_11,0.00313818298691069
11,lag_12,0.0053169619468588745
12,lag_13,0.0018389113392478962
13,lag_14,0.041903163747451976
14,lag_15,0.03200493707662073
15,lag_16,0.0003795343621912717
16,lag_17,0.001507389571712982
17,lag_18,0.0011354604516559438
18,lag_19,0.00239312245837309
19,lag_20,0.002851296619695043
20,lag_21,0.011320937813816424
21,lag_22,0.01659970968713468
22,lag_23,0.00047621533044454666
23,lag_24,0.003204688686361936
24,lag_25,0.0016583104095138292
25,lag_26,0.0010066765989650665
26,lag_27,0.0021505464457106122
27,lag_28,0.03971931353878247
28,lag_29,0.003580321613551459
29,lag_30,0.0003709312006903261
30,lag_31,0.0010569980677367222
31,lag_32,0.002798239635232077
32,lag_33,0.029891880670519753
33,lag_34,0.000756159092763124
34,lag_35,0.12212464043192489
35,lag_36,0.002190561997223816
36,lag_37,0.00046210833184485924
37,lag_38,0.0007242782921199441
38,lag_39,0.0015675392971575964
39,lag_40,0.0012655911064813831
40,lag_41,0.0006969822677954173
41,lag_42,0.013463231783472192
42,lag_43,0.010132049979893708
43,lag_44,0.0002536748524283608
44,lag_45,0.003211106124808303
45,lag_46,0.002574650177949005
46,lag_47,0.004840649979162834
47,lag_48,0.0010999330490688766
48,lag_49,0.005847626767782001
49,lag_50,0.03291911293677748
50,lag_51,0.0003975935193255062
51,lag_52,0.007705749879816429
52,lag_53,0.0015126811767135436
53,lag_54,0.0013387492358516158
54,lag_55,0.0025556336809217325
55,lag_56,0.0032263325979444936
56,lag_57,0.024813591768417916
57,lag_58,0.0004227006152004965
58,lag_59,0.0033697392482990537
59,lag_60,0.0020111346606814596
60,lag_61,0.001800178365945103
61,lag_62,0.002049333749913306
62,lag_63,0.002344052944710909
63,lag_64,0.014441105617584753
64,lag_65,0.00045030856439395346
65,lag_66,0.0022699823551569935
66,lag_67,0.003181000667595742
67,lag_68,0.0004198204742006811
68,lag_69,0.001092047252261929
69,lag_70,0.011419878197745318
70,lag_71,0.00259147203956766
71,lag_72,0.00079845480665818
72,lag_73,0.007892568502486675
73,lag_74,0.001072690598703011
74,lag_75,0.0006584530732924186
75,lag_76,0.0013256175225724947
76,lag_77,0.002078767417458913
77,lag_78,0.030528869860755887
78,lag_79,0.0008027925795863452
79,lag_80,0.0021621691197566606
80,lag_81,0.00852228160978452
81,lag_82,0.0013149100110860803
82,lag_83,0.010793982131406997
83,lag_84,0.009412085845289131
84,lag_85,0.0019261399391649425
85,lag_86,0.0006610241923127981
86,lag_87,0.002727567780466136
87,lag_88,0.0015971009685422245
88,lag_89,0.0009448723798039405
89,lag_90,0.0011713252532290336
