,feature,importance
0,lag_1,0.017969986112708534
1,lag_2,0.005820897006628382
2,lag_3,0.004179938957547208
3,lag_4,0.008210264702171722
4,lag_5,0.008957045080539471
5,lag_6,0.015195885606790374
6,lag_7,0.3999711869816214
7,lag_8,0.05300130961348845
8,lag_9,0.0029637098285621617
9,lag_10,0.0026672508249713936
10,lag_11,0.004634631345580252
11,lag_12,0.0014619492960445766
12,lag_13,0.000777758991451265
13,lag_14,0.058192491575322046
14,lag_15,0.05539754968696423
15,lag_16,0.0006661201239512447
16,lag_17,0.0009078925132942825
17,lag_18,0.004879763501138746
18,lag_19,0.004128038704974755
19,lag_20,0.001770848845187731
20,lag_21,0.00869000909020782
21,lag_22,0.0023046268877178603
22,lag_23,0.002502704820863481
23,lag_24,0.0009364171201428428
24,lag_25,0.0006036217878211994
25,lag_26,0.0011079939234181365
26,lag_27,0.001070613085856817
27,lag_28,0.00551901770766068
28,lag_29,0.0015218215355817636
29,lag_30,0.0009594825037466167
30,lag_31,0.0007852700190767442
31,lag_32,0.0017117412906775015
32,lag_33,0.004599184324000948
33,lag_34,0.0013286504225592044
34,lag_35,0.016278492123867876
35,lag_36,0.0017879743699148675
36,lag_37,0.0009367727001653198
37,lag_38,0.000941247587241958
38,lag_39,0.0022859342062148333
39,lag_40,0.0011390719997133583
40,lag_41,0.006440783851102374
41,lag_42,0.0021034822315101876
42,lag_43,0.024870821664607246
43,lag_44,0.000917615442853009
44,lag_45,0.0009048778368845225
45,lag_46,0.002871490933569215
46,lag_47,0.0014749440581006215
47,lag_48,0.0008630252239827663
48,lag_49,0.0023865744299455525
49,lag_50,0.05966814226046761
50,lag_51,0.0007900880016268035
51,lag_52,0.007555675984596248
52,lag_53,0.0017187109961030675
53,lag_54,0.002273910358791655
54,lag_55,0.0011607634463776412
55,lag_56,0.002933184545436609
56,lag_57,0.0061663458009643
57,lag_58,0.0007540149114077234
58,lag_59,0.004932821454034367
59,lag_60,0.0045648421532436265
60,lag_61,0.0014041197796762868
61,lag_62,0.0004414268887166558
62,lag_63,0.004223298389118038
63,lag_64,0.05013770712329298
64,lag_65,0.0008734254461612758
65,lag_66,0.0036697330815777234
66,lag_67,0.011455894077395478
67,lag_68,0.0011577986060320082
68,lag_69,0.001081513519845365
69,lag_70,0.004181296081857851
70,lag_71,0.016514221062112082
71,lag_72,0.0008124851985560391
72,lag_73,0.001514650708842388
73,lag_74,0.001701600348120309
74,lag_75,0.0026625107986411657
75,lag_76,0.0009921399245541088
76,lag_77,0.005703042354922279
77,lag_78,0.004705190165756605
78,lag_79,0.0007139391341465691
79,lag_80,0.0023539043572715045
80,lag_81,0.0026937746566898586
81,lag_82,0.0014141623232323793
82,lag_83,0.015080293627293904
83,lag_84,0.003021012789804956
84,lag_85,0.0032637278205991066
85,lag_86,0.0017440182823355126
86,lag_87,0.00198470151115063
87,lag_88,0.002796658885586862
88,lag_89,0.0035374629535431046
89,lag_90,0.0040470077121738165
