,feature,importance
0,lag_1,0.06555367348479745
1,lag_2,0.04256467563918594
2,lag_3,0.1536543374162492
3,lag_4,0.012071268619213035
4,lag_5,0.04510594304193764
5,lag_6,0.031217716750553952
6,lag_7,0.2684640415112828
7,lag_8,0.08631425890000238
8,lag_9,0.0039022284122806295
9,lag_10,0.006080638171375451
10,lag_11,0.020841681065753497
11,lag_12,0.003341407894728725
12,lag_13,0.00222071937410324
13,lag_14,0.007412989238120977
14,lag_15,0.00169679887821435
15,lag_16,0.0013067576810454138
16,lag_17,0.0021423157011530303
17,lag_18,0.003514380756605861
18,lag_19,0.001574666500375455
19,lag_20,0.0027653410679683997
20,lag_21,0.002299900603603801
21,lag_22,0.0020711883631112987
22,lag_23,0.0017823328577453296
23,lag_24,0.0014398130308814186
24,lag_25,0.005409017518467902
25,lag_26,0.0041113404328946695
26,lag_27,0.0012848809323266304
27,lag_28,0.0010745630851273136
28,lag_29,0.001017347979369792
29,lag_30,0.004811738505105579
30,lag_31,0.0061998139633593135
31,lag_32,0.011978921023608103
32,lag_33,0.013357635745237146
33,lag_34,0.0006689704276415394
34,lag_35,0.0015062422663331232
35,lag_36,0.0016414893345922004
36,lag_37,0.0007572024166860345
37,lag_38,0.0026956514181431606
38,lag_39,0.004793570177037175
39,lag_40,0.0008801128033892274
40,lag_41,0.001199623946221396
41,lag_42,0.0023445047274905325
42,lag_43,0.0034092461979627633
43,lag_44,0.004976984724150979
44,lag_45,0.018715173792396223
45,lag_46,0.003221026090070472
46,lag_47,0.0032806761858904273
47,lag_48,0.007584800770249654
48,lag_49,0.0014298503924771323
49,lag_50,0.004114444131039984
50,lag_51,0.0005419883192113582
51,lag_52,0.0018069278701567752
52,lag_53,0.001069178429915329
53,lag_54,0.002294417027981097
54,lag_55,0.003825253698044495
55,lag_56,0.009476297522337734
56,lag_57,0.00321246039388197
57,lag_58,0.0012507587972452087
58,lag_59,0.008707859129749848
59,lag_60,0.0023879984979466567
60,lag_61,0.0016851807076017562
61,lag_62,0.0012246001838296873
62,lag_63,0.0016930828378193406
63,lag_64,0.0006991099454758973
64,lag_65,0.002052602019964483
65,lag_66,0.0016210232116624043
66,lag_67,0.005109029282919713
67,lag_68,0.0014245469514751132
68,lag_69,0.0012890798662936703
69,lag_70,0.0006304578475901833
70,lag_71,0.0016950526985814204
71,lag_72,0.0030366071025828933
72,lag_73,0.009490852714990079
73,lag_74,0.0014402267921136476
74,lag_75,0.001482140146645822
75,lag_76,0.001436970116230431
76,lag_77,0.0019386744398393095
77,lag_78,0.0011982491782953424
78,lag_79,0.009441352667601304
79,lag_80,0.002260926211967404
80,lag_81,0.0043500201593251065
81,lag_82,0.003048292626310902
82,lag_83,0.010129112503304148
83,lag_84,0.004778811547268112
84,lag_85,0.001179602932931008
85,lag_86,0.002606401458636862
86,lag_87,0.004157023628355273
87,lag_88,0.0006668321146178032
88,lag_89,0.0007015651884325431
89,lag_90,0.0011555292833101672
