,feature,importance
0,lag_1,0.010295592902936052
1,lag_2,0.00201271347619227
2,lag_3,0.002726002279293593
3,lag_4,0.006475271854429787
4,lag_5,0.0015965127235859683
5,lag_6,0.006290352250543083
6,lag_7,0.6467694340097048
7,lag_8,0.003497264453825697
8,lag_9,0.0016056080499791175
9,lag_10,0.0016273755712205094
10,lag_11,0.0053360162146016705
11,lag_12,0.0007553687081327225
12,lag_13,0.0010427520672634594
13,lag_14,0.09294944036280639
14,lag_15,0.0019411245142306724
15,lag_16,0.0003120709266969638
16,lag_17,0.0010980134712626516
17,lag_18,0.0011597773311722446
18,lag_19,0.0011510322820848416
19,lag_20,0.0006671768697260117
20,lag_21,0.028597279591341854
21,lag_22,0.0010673999028664837
22,lag_23,0.0007554767430311482
23,lag_24,0.0018196137132446904
24,lag_25,0.0009581510216965887
25,lag_26,0.000992501575837006
26,lag_27,0.0006904590674508814
27,lag_28,0.026790396617658238
28,lag_29,0.001132052902703662
29,lag_30,0.000569274314547726
30,lag_31,0.0017908920842952536
31,lag_32,0.0012574573723321213
32,lag_33,0.0017957093156965212
33,lag_34,0.0006731286125083115
34,lag_35,0.02402258899309453
35,lag_36,0.0009076529568442768
36,lag_37,0.0011332431868071797
37,lag_38,0.0014965090982194018
38,lag_39,0.0017723174350982608
39,lag_40,0.001286342505194586
40,lag_41,0.0009591537819928737
41,lag_42,0.019294261702025698
42,lag_43,0.002115243975441987
43,lag_44,0.0007250192415898304
44,lag_45,0.001855395692213355
45,lag_46,0.001126821281848079
46,lag_47,0.0018275330594807282
47,lag_48,0.0006861155450445996
48,lag_49,0.008711474009272172
49,lag_50,0.0009697108168988252
50,lag_51,0.001515821195226125
51,lag_52,0.000704915441453271
52,lag_53,0.00042997697489241993
53,lag_54,0.0045099182841692185
54,lag_55,0.0013457165118692647
55,lag_56,0.004753036266448005
56,lag_57,0.001455442537051321
57,lag_58,0.0006351309612602974
58,lag_59,0.0005513439959564988
59,lag_60,0.0002834606445913432
60,lag_61,0.0006622683554482487
61,lag_62,0.000715118333434195
62,lag_63,0.004132309585132674
63,lag_64,0.002569796153220074
64,lag_65,0.0013806789573349771
65,lag_66,0.0010391550501784516
66,lag_67,0.0005261564708686842
67,lag_68,0.0006543190010117395
68,lag_69,0.0008151956296963491
69,lag_70,0.007075187448084981
70,lag_71,0.0026347013938320517
71,lag_72,0.001537317690663531
72,lag_73,0.0012919375984069483
73,lag_74,0.0009111565291279768
74,lag_75,0.000888537370018329
75,lag_76,0.001092347393268327
76,lag_77,0.005125780053477806
77,lag_78,0.0014704876685073267
78,lag_79,0.0022528930469322525
79,lag_80,0.002039912543277277
80,lag_81,0.001121221289944747
81,lag_82,0.001985746535177545
82,lag_83,0.003027533369160532
83,lag_84,0.002686744843797644
84,lag_85,0.0006029984966038868
85,lag_86,0.0011466396146716956
86,lag_87,0.0023166184674720093
87,lag_88,0.0011359567176906491
88,lag_89,0.001516323229719235
89,lag_90,0.00237212191495689
