,feature,importance
0,lag_1,0.02518908259919286
1,lag_2,0.002769584547946684
2,lag_3,0.022553623936225304
3,lag_4,0.003786926403186358
4,lag_5,0.015995355297013885
5,lag_6,0.09665375667017544
6,lag_7,0.5009919446527835
7,lag_8,0.01021319749163391
8,lag_9,0.0005811663907515566
9,lag_10,0.002044446333279851
10,lag_11,0.0020963665833394827
11,lag_12,0.0009603981576932015
12,lag_13,0.0018875058864806326
13,lag_14,0.03261654489808379
14,lag_15,0.0021749685929126194
15,lag_16,0.0005356384638947495
16,lag_17,0.0011301935239398703
17,lag_18,0.0008245111703737136
18,lag_19,0.0007652976853504442
19,lag_20,0.0006994822249253082
20,lag_21,0.006303932545691943
21,lag_22,0.0017974966491130378
22,lag_23,0.0003959443922939243
23,lag_24,0.0006155836745024274
24,lag_25,0.0010781364350128365
25,lag_26,0.001040546378590577
26,lag_27,0.0007750269113271839
27,lag_28,0.00600432373670814
28,lag_29,0.002579267969847487
29,lag_30,0.001131042219864146
30,lag_31,0.0010396141251653777
31,lag_32,0.0005667443036731654
32,lag_33,0.0006551050421088051
33,lag_34,0.004192597457392094
34,lag_35,0.01653774939439977
35,lag_36,0.003729425882132271
36,lag_37,0.0013960651313332816
37,lag_38,0.0025708073672878157
38,lag_39,0.0010528124511889258
39,lag_40,0.0006627501840175005
40,lag_41,0.006789592776026696
41,lag_42,0.006067911123590814
42,lag_43,0.0024961694721224283
43,lag_44,0.0006079224253009561
44,lag_45,0.002060673020164312
45,lag_46,0.0009731149317957508
46,lag_47,0.0017045029529818652
47,lag_48,0.002688182760251505
48,lag_49,0.015347498708713275
49,lag_50,0.0010815942184840687
50,lag_51,0.0008600230699323028
51,lag_52,0.001644017410297806
52,lag_53,0.0016053554176368866
53,lag_54,0.0011720807983411471
54,lag_55,0.01135729586901242
55,lag_56,0.008624347087578416
56,lag_57,0.0020059880399616466
57,lag_58,0.0007579908178481799
58,lag_59,0.0009831907717691493
59,lag_60,0.0008786997403541244
60,lag_61,0.0011085126802270577
61,lag_62,0.0016473287817830805
62,lag_63,0.0029485380251057765
63,lag_64,0.002937194550518448
64,lag_65,0.0006860033257413164
65,lag_66,0.0004645379349515546
66,lag_67,0.0012815588985953682
67,lag_68,0.0008392537857062878
68,lag_69,0.0016636558834504855
69,lag_70,0.011091512052461228
70,lag_71,0.002582922072568704
71,lag_72,0.0009723363067110158
72,lag_73,0.0011099494576551126
73,lag_74,0.0026779975886505806
74,lag_75,0.0013223623570554144
75,lag_76,0.0035624578448685443
76,lag_77,0.002264143256118163
77,lag_78,0.012894837929710764
78,lag_79,0.0013740597062117147
79,lag_80,0.0008115979193603543
80,lag_81,0.003735631770135482
81,lag_82,0.0077055486876363745
82,lag_83,0.0019333226693555156
83,lag_84,0.019624882452543325
84,lag_85,0.00247072313705241
85,lag_86,0.0014094614028072512
86,lag_87,0.0029664693588349537
87,lag_88,0.009276381840572178
88,lag_89,0.044350732830648686
89,lag_90,0.003984970319964919
