,feature,importance
0,lag_1,0.011222997531261701
1,lag_2,0.0024963473980077738
2,lag_3,0.002187709542870536
3,lag_4,0.002563010711717999
4,lag_5,0.019430216101257496
5,lag_6,0.007701811416522446
6,lag_7,0.674942076399379
7,lag_8,0.008633309689079617
8,lag_9,0.0005048868144928721
9,lag_10,0.0005323371323551025
10,lag_11,0.0022999350108044263
11,lag_12,0.0017082119045181185
12,lag_13,0.002670438869504117
13,lag_14,0.02518705877938862
14,lag_15,0.00918406726055976
15,lag_16,0.0005508597322326069
16,lag_17,0.0002829276034760393
17,lag_18,0.003565270547114686
18,lag_19,0.00278317219087162
19,lag_20,0.0009401781702577775
20,lag_21,0.008433877736068329
21,lag_22,0.001422979149650633
22,lag_23,0.0004581861247886886
23,lag_24,0.0006203083298017088
24,lag_25,0.0007571351230993875
25,lag_26,0.0023535679891785767
26,lag_27,0.0006942426308535442
27,lag_28,0.009123887427092378
28,lag_29,0.007172034453383391
29,lag_30,0.0005424421581758072
30,lag_31,0.00041765895066849375
31,lag_32,0.002038520429952417
32,lag_33,0.023153038682843165
33,lag_34,0.0009477822542448821
34,lag_35,0.006664259482136213
35,lag_36,0.0026424774159625464
36,lag_37,0.000919542450871158
37,lag_38,0.00047771435299187977
38,lag_39,0.0008124717493249048
39,lag_40,0.005911316156389013
40,lag_41,0.0007873824550218376
41,lag_42,0.00278092774695935
42,lag_43,0.005871639234128228
43,lag_44,0.0005383124653344534
44,lag_45,0.00047894051819214974
45,lag_46,0.0004285685650404207
46,lag_47,0.003178288752503717
47,lag_48,0.0002484298021813182
48,lag_49,0.01478261561110214
49,lag_50,0.0006164290129070803
50,lag_51,0.00027522306316505994
51,lag_52,0.0011235447053159339
52,lag_53,0.0035653398985040713
53,lag_54,0.002027641564413081
54,lag_55,0.001207317105785509
55,lag_56,0.004099129925129498
56,lag_57,0.0036200106112234402
57,lag_58,0.0006527234283088265
58,lag_59,0.0004677965227874922
59,lag_60,0.0006945813820084182
60,lag_61,0.0066940505333736074
61,lag_62,0.0015694656262627532
62,lag_63,0.004675535740464822
63,lag_64,0.004501858511500009
64,lag_65,0.0005770466135779951
65,lag_66,0.0022451680537448303
66,lag_67,0.0028619510373885217
67,lag_68,0.0021576750414726404
68,lag_69,0.0006258731824842117
69,lag_70,0.0015575996218220418
70,lag_71,0.003011931330643388
71,lag_72,0.00046705309022591635
72,lag_73,0.00105613428433604
73,lag_74,0.0017077182833037734
74,lag_75,0.000743411130252675
75,lag_76,0.001255144569258922
76,lag_77,0.007948256684149743
77,lag_78,0.0013167555518689594
78,lag_79,0.004674496703151145
79,lag_80,0.001072545346328968
80,lag_81,0.0015362773021404545
81,lag_82,0.0042424926366100525
82,lag_83,0.009899104273245482
83,lag_84,0.004424487209760529
84,lag_85,0.009887061574539505
85,lag_86,0.0008095330455213153
86,lag_87,0.0007679500078801499
87,lag_88,0.000920677483415668
88,lag_89,0.000652105380585584
89,lag_90,0.013745531927529074
