,feature,importance
0,lag_1,0.0319351340268064
1,lag_2,0.0014849353406674074
2,lag_3,0.003325351666540429
3,lag_4,0.007672253438818467
4,lag_5,0.002347751535289984
5,lag_6,0.006555746967033028
6,lag_7,0.6384040459547856
7,lag_8,0.017682749076365814
8,lag_9,0.0007131724066252697
9,lag_10,0.002028598169252584
10,lag_11,0.010288151937108801
11,lag_12,0.0038093974301992317
12,lag_13,0.001069251599965741
13,lag_14,0.029655900356390603
14,lag_15,0.005983327111229818
15,lag_16,0.0003293368380073341
16,lag_17,0.0008469910190010303
17,lag_18,0.004977165220543103
18,lag_19,0.005668293692497636
19,lag_20,0.002403007325572306
20,lag_21,0.012801366773749885
21,lag_22,0.006828967480097046
22,lag_23,0.0009416710982314969
23,lag_24,0.0008933000272253337
24,lag_25,0.0030108278421254815
25,lag_26,0.0038450005819160174
26,lag_27,0.0011860685547719304
27,lag_28,0.006816652590511423
28,lag_29,0.003163224601719141
29,lag_30,0.0012582077944319721
30,lag_31,0.0007597665377050963
31,lag_32,0.006502654949545987
32,lag_33,0.0025148450551335023
33,lag_34,0.001101811054829
34,lag_35,0.0045114465370219995
35,lag_36,0.006385837501051298
36,lag_37,0.0008051098260485606
37,lag_38,0.0015620623547889056
38,lag_39,0.007448689756457841
39,lag_40,0.0016794027774294162
40,lag_41,0.0011898568006698926
41,lag_42,0.007708780033432643
42,lag_43,0.001463896661558849
43,lag_44,0.0002794189691826102
44,lag_45,0.001426853191409206
45,lag_46,0.0015446004873481381
46,lag_47,0.002575817495303665
47,lag_48,0.001238926905045376
48,lag_49,0.002374820055408783
49,lag_50,0.002457670008525744
50,lag_51,0.00052450983621339
51,lag_52,0.002701700659686818
52,lag_53,0.0015327912781251246
53,lag_54,0.00040636227506484694
54,lag_55,0.0010824235792697395
55,lag_56,0.006256423095232932
56,lag_57,0.002335306003674802
57,lag_58,0.0006258252401226218
58,lag_59,0.0004927898389035701
59,lag_60,0.0009008775128472661
60,lag_61,0.00789775781516498
61,lag_62,0.003347059385611037
62,lag_63,0.0020599871296562034
63,lag_64,0.0026129954980486903
64,lag_65,0.0011313760919436282
65,lag_66,0.0012330853366571133
66,lag_67,0.005938861236795291
67,lag_68,0.0059188982436556735
68,lag_69,0.0011882707550162797
69,lag_70,0.002261956050476447
70,lag_71,0.0033794403234139367
71,lag_72,0.0006818397436576391
72,lag_73,0.0004412820878374948
73,lag_74,0.0014941721081792854
74,lag_75,0.00259005124123026
75,lag_76,0.012855652640387346
76,lag_77,0.0057737803130570335
77,lag_78,0.0013131390551217254
78,lag_79,0.0003917148311623449
79,lag_80,0.0007412191855643352
80,lag_81,0.0006404707567560382
81,lag_82,0.0046137099555654745
82,lag_83,0.013486011078657796
83,lag_84,0.013429472459846058
84,lag_85,0.0014926104160539282
85,lag_86,0.00047723643677252735
86,lag_87,0.0009757447374006791
87,lag_88,0.003548390013799988
88,lag_89,0.0018872238865230743
89,lag_90,0.005879466451469867
