,feature,importance
0,lag_1,0.015908518259179945
1,lag_2,0.0032835460414365044
2,lag_3,0.0062314375810673985
3,lag_4,0.0023980361398014713
4,lag_5,0.003151773922411213
5,lag_6,0.0024582068025205805
6,lag_7,0.7390499133996875
7,lag_8,0.0031644855007395825
8,lag_9,0.0006735470424399936
9,lag_10,0.0004911403624180495
10,lag_11,0.0009032615464818552
11,lag_12,0.000921156348775449
12,lag_13,0.0008992753542436634
13,lag_14,0.05628487190924299
14,lag_15,0.001463222841341026
15,lag_16,0.0007561644324585684
16,lag_17,0.0016062356075930383
17,lag_18,0.00034582438233220263
18,lag_19,0.0007236617282222311
19,lag_20,0.0007704976471909408
20,lag_21,0.00728950475977367
21,lag_22,0.0020102960877561972
22,lag_23,0.0005280816628692343
23,lag_24,0.0005374350879281148
24,lag_25,0.000303783050358251
25,lag_26,0.0009574128805300901
26,lag_27,0.0003468361370690851
27,lag_28,0.004181661635340697
28,lag_29,0.0033743889982211957
29,lag_30,0.000514844647224328
30,lag_31,0.00042984657612294433
31,lag_32,0.0005156214105476478
32,lag_33,0.0012090195171594188
33,lag_34,0.00038214693705578744
34,lag_35,0.0015909028001447035
35,lag_36,0.0013944060837165922
36,lag_37,0.0006088412855934758
37,lag_38,0.0001987463135074305
38,lag_39,0.0006024089875898051
39,lag_40,0.0009274446255447171
40,lag_41,0.0006876988493281447
41,lag_42,0.03671808803095321
42,lag_43,0.0021504459524150196
43,lag_44,0.0002156701351935201
44,lag_45,0.0009450130935292444
45,lag_46,0.0003585244928664082
46,lag_47,0.002618558720809319
47,lag_48,0.002041653450979102
48,lag_49,0.004439592023186732
49,lag_50,0.0010356842762768352
50,lag_51,0.0003969644312755271
51,lag_52,0.00027799938421232923
52,lag_53,0.001087702619220844
53,lag_54,0.0030001565793132475
54,lag_55,0.0007097530981939067
55,lag_56,0.009879221327439831
56,lag_57,0.0004465831658044373
57,lag_58,0.0005260496233855866
58,lag_59,0.0003230639525721604
59,lag_60,0.00041951832228074757
60,lag_61,0.001206151351141332
61,lag_62,0.0016163600912044425
62,lag_63,0.0030041584126497584
63,lag_64,0.0018736914891019922
64,lag_65,0.00037444776265083173
65,lag_66,0.00038281688772115756
66,lag_67,0.0004489954681246698
67,lag_68,0.0012349529345027771
68,lag_69,0.0010846164949368721
69,lag_70,0.0036203311634626775
70,lag_71,0.002475856627216026
71,lag_72,0.0005689093478841364
72,lag_73,0.0004752167801393322
73,lag_74,0.0004671291831549084
74,lag_75,0.00033381519164183023
75,lag_76,0.00045231786330273327
76,lag_77,0.005127246382726616
77,lag_78,0.003403214748772749
78,lag_79,0.001502085130394515
79,lag_80,0.0003594082022879392
80,lag_81,0.001006975278753298
81,lag_82,0.00044603426415346456
82,lag_83,0.0014696621923319085
83,lag_84,0.012294110438315058
84,lag_85,0.0033152359006394507
85,lag_86,0.0006527650121089671
86,lag_87,0.0007703308976896567
87,lag_88,0.0005444641460611524
88,lag_89,0.010859207971649147
89,lag_90,0.0009631445224067734
