,State Code,longitude,latitude,Courses Available
32326,GA,-84.152795,34.112215,20.0
32327,PA,-77.8078,40.83248,17.0
32328,TX,-97.03723,32.6746,48.0
32329,TX,-95.461315,30.312645,396.0
32330,NJ,-74.36759,40.252975,24.0
32331,IN,-87.60104,37.984695,20.0
32332,PR,-66.32,18.34,40.0
32333,OR,-121.30154,44.04293,24.0
32334,VA,-77.14656,38.86976,24.0
32335,CA,-118.07287,34.07508,48.0
32336,OR,-122.62123,45.53616,23.0
32337,CA,-118.60565,34.19216,24.0
32338,LA,-90.2565,30.021695,23.0
32339,WA,-122.212104,47.999093,20.0
32340,GA,-84.99887,34.78721,96.0
32341,NM,-106.89112,34.06341,23.0
32342,MD,-76.52336,39.39576,159.0
32343,CA,-116.301568,33.769027,68.0
32344,FL,-80.721455,28.29583,20.0
32345,NJ,-74.22286,40.75985,24.0
32346,CO,-104.747,38.84301,20.0
32347,CA,-122.30321,38.32024,40.0
32348,OH,-81.62225,41.502465,429.0
32349,TX,-97.428265,25.943835,20.0
32350,CA,-119.557505,36.71123,118.0
32351,SC,-81.98582,34.49334,17.0
32352,AL,-87.16933,32.9619,100.0
32353,NY,-77.80377,43.18134,48.0
32354,TX,-96.76984,33.00158,69.0
32355,VA,-76.45373,37.02507,20.0
32356,AR,-94.183017,36.309165,30.0
32357,NY,-73.634125,40.750945,20.0
32358,DE,-75.55709,39.68874,62.0
32359,AL,-87.59058,34.24182,24.0
32360,CA,-118.09271,34.06236,66.0
32361,WA,-122.10992,47.99766,18.0
32362,MN,-93.56498,45.27725,20.0
32363,SC,-83.047065,34.75641,24.0
32364,CT,-73.013975,41.54981,24.0
32365,NY,-79.238655,42.093545,17.0
32366,AL,-85.49602,32.63044,20.0
32367,MS,-90.546806,33.733318,47.0
32368,PA,-76.792025,40.55773,23.0
32369,CA,-118.369807,34.187305,23.0
32370,NC,-78.373875,33.983155,20.0
32371,CA,-116.9351,32.7968,78.0
32372,TX,-96.4966,33.173475,59.0
32373,TX,-96.78955,33.23487,40.0
32374,OK,-96.926088,35.293269,100.0
32375,NJ,-75.03835,39.81863,96.0
32376,NJ,-74.39733,40.50386,14.0
32377,GA,-84.94075,33.72985,18.0
32378,OH,-84.22904,40.08634,15.0
32379,NV,-115.203885,36.27778,46.0
32380,AZ,-110.97881,32.28613,48.0
32381,FL,-80.355695,25.59664,39.0
32382,LA,-90.106435,30.500335,22.0
32383,OK,-94.50323,35.40524,20.0
32384,CA,-117.91864,33.99156,24.0
32385,SC,-80.927305,34.090705,80.0
32386,FL,-80.186505,26.164665,24.0
32387,NY,-73.76663,41.0317,24.0
32388,NC,-75.655105,36.00516,24.0
32389,NY,-73.98551,40.74744,24.0
32390,IL,-88.36968,42.17517,24.0
32391,CT,-73.20976,41.21202,45.0
32392,GA,-84.460424,33.671448,355.0
32393,NM,-106.496685,35.09409,24.0
32394,TX,-97.16498,26.09571,20.0
32395,CA,-116.96052,32.74711,20.0
32396,NC,-80.83581,35.49373,8.0
32397,MS,-90.40899,31.87181,24.0
32398,TN,-86.8569,36.14993,24.0
32399,KY,-84.578434,37.866753,19.0
32400,TX,-101.86735,35.14849,20.0
32401,NC,-80.9193,35.22485,299.0
32402,CA,-122.14327,37.7127,5.0
32403,MD,-76.23085,39.13949,160.0
32404,NY,-73.84314,40.8614,24.0
32405,OR,-118.07814,45.32922,24.0
32406,IN,-86.13961,39.73624,20.0
32407,TX,-95.49009,30.184965,40.0
32408,OH,-81.42864,40.85201,148.0
32409,NJ,-75.16948,39.80504,40.0
32410,AR,-90.199965,35.16577,40.0
32411,NC,-78.677045,35.7891,24.0
32412,TX,-97.76945,30.18888,73.0
32413,TX,-98.2236,26.23415,24.0
32414,IL,-88.20662,41.975585,15.0
32415,TX,-96.62942,33.099765,34.0
32416,OH,-84.379555,39.210825,24.0
32417,PA,-77.267685,41.74302,20.0
32418,VA,-77.43184,37.24025,24.0
32419,PA,-77.04422,41.25901,20.0
32420,TX,-98.21908,26.12501,80.0
32421,LA,-92.16081,32.51682,126.0
32422,FL,-80.151615,26.243552,20.0
32423,VA,-82.2096,36.59694,80.0
32424,WA,-122.31019,47.29262,20.0
32425,IL,-88.09223,42.47106,18.0
32426,NY,-78.73849,43.02412,20.0
32427,VA,-80.01142,37.22487,20.0
32428,VA,-79.18676,37.35108,20.0
32429,PA,-75.63948,41.46998,40.0
32430,AL,-87.01411,32.43274,2.0
32431,MI,-85.85895,42.520455,20.0
32432,NH,-71.541085,42.80393,24.0
32433,IN,-86.24858,39.75382,24.0
32434,TX,-96.46848,32.089,24.0
32435,IL,-89.63023,39.83117,24.0
32436,NV,-115.05212,36.06251,50.0
32437,NY,-73.66773,43.328305,47.0
32438,PA,-75.24154,40.74485,40.0
32439,KS,-95.24913,38.97863,62.0
32440,TX,-96.99457,28.87772,19.0
32441,NJ,-74.58472,39.97741,96.0
32442,TX,-94.97171,33.15212,1.0
32443,IN,-86.31309,40.76136,10.0
32444,NC,-77.64646,36.4513,59.0
32445,PA,-74.96754,40.13656,24.0
32446,WA,-119.51047,48.41893,24.0
32447,CA,-117.11461,32.76393,25.0
32448,IN,-85.90204,39.228435,
32449,GA,-81.37997,31.18467,20.0
32450,WI,-88.128851,43.059398,54.0
32451,FL,-82.19023,29.1484,15.0
32452,ID,-116.26304,43.61175,40.0
32453,OR,-122.62231,45.50457,60.0
32454,MN,-93.52885,45.045465,20.0
32455,KY,-85.71518,37.99129,86.0
32456,NY,-74.16365,40.59169,24.0
32457,WY,-104.81654,41.14027,136.0
32458,MI,-83.15698,42.68256,20.0
32459,CA,-118.3929,34.02719,23.0
32460,TX,-99.48516,27.50648,24.0
32461,MD,-76.55602,38.975565,13.0
32462,CA,-118.91516,35.267485,164.0
32463,TX,-99.50017,27.56952,40.0
32464,AK,-149.87097,61.181,5.0
32465,LA,-90.06952,29.92573,20.0
32466,NY,-73.882005,40.7557,24.0
32467,IL,-88.398975,40.194465,24.0
32468,WA,-117.043325,46.41977,80.0
32469,TX,-97.41298,32.67882,24.0
32470,TX,-97.9433,29.883385,0.0
32471,NY,-73.1917,40.731545,13.0
32472,CA,-118.10624,33.8578,24.0
32473,CT,-72.94213,41.278525,20.0
32474,IL,-88.8402,41.35652,24.0
32475,FL,-81.51196,28.49311,16.0
32476,SC,-81.227565,33.99429,20.0
32477,TN,-83.357325,36.190765,46.0
32478,WA,-122.6686,47.56779,20.0
32479,OK,-95.5845,35.28376,20.0
32480,NM,-106.678897,35.053945,24.0
32481,IN,-85.67542,40.52338,19.0
32482,IN,-86.08977,40.00166,24.0
32483,WA,-122.29624,47.665865,20.0
32484,NV,-115.27924,36.29908,20.0
32485,MD,-75.61933,38.36795,24.0
32486,PA,-80.032165,42.108145,24.0
32487,TX,-95.45077,30.17729,19.0
32488,PA,-75.94852,40.31275,40.0
32489,ID,-117.00463,46.39928,20.0
32490,VA,-77.176552,38.879636,20.0
32491,LA,-90.12049,29.956525,99.0
32492,PR,-65.650684,18.332581,20.0
32493,TX,-97.095032,33.132715,40.0
32494,PA,-75.137785,39.919635,24.0
32495,WI,-88.822686,43.455765,20.0
32496,TX,-98.603712,29.51894,24.0
32497,NY,-73.579569,40.655281,39.0
32498,FL,-80.12111,25.86015,24.0
32499,NC,-78.59785,35.90892,5.0
32500,NC,-78.7092,34.339485,20.0
32501,FL,-82.73252,28.22464,24.0
32502,VA,-77.40731,38.41536,5.0
32503,IL,-87.683098,42.025225,36.0
32504,AL,-87.6386,34.839685,21.0
32505,KS,-97.364795,37.721765,20.0
32506,MN,-94.18733,45.55303,20.0
32507,TX,-94.12827,30.06972,101.0
32508,KS,-97.32251875,37.718785,20.0
32509,OR,-122.858972,42.317355,38.0
32510,FL,-81.25755,28.43182,20.0
32511,IA,-91.590685,41.677645,20.0
32512,FL,-80.25032,25.99345,24.0
32513,GA,-84.70489,33.99859,47.0
32514,PA,-76.761885,39.980035,20.0
32515,LA,-93.07767,31.75235,24.0
32516,GA,-84.7357,31.17092,18.0
32517,IL,-87.83386,41.24761,24.0
32518,NY,-78.885652,42.893655,19.0
32519,TN,-86.605272,36.307985,96.0
32520,OK,-97.51143,35.32026,151.0
32521,NC,-78.670854,35.782994,19.0
32522,TX,-95.86426,32.54537,24.0
32523,VA,-79.006905,38.20261,16.0
32524,MA,-70.59473,41.56144,20.0
32525,HI,-157.899595,21.363245,86.0
32526,GA,-84.48005,33.97403,48.0
32527,NE,-95.99077,41.30154,24.0
32528,FL,-80.409265,27.26406,219.0
32529,CT,-73.537352,41.056775,96.0
32530,OH,-83.995,39.785975,
32531,TX,-98.206025,26.237735,39.0
32532,IL,-88.03512,42.36007,48.0
32533,NV,-115.06282,36.10936,96.0
32534,WI,-87.99522,43.01621,17.0
32535,NC,-80.46658,35.65514,20.0
32536,TX,-97.18485,32.824695,19.0
32537,MO,-94.57794,39.14227,17.0
32538,FL,-80.26448,26.009305,18.0
32539,PA,-75.04766,40.15844,64.0
32540,FL,-82.242525,27.893225,24.0
32541,AL,-86.88201,33.39667,0.0
32542,CT,-73.447478,41.40575,341.0
32543,CA,-117.08204,32.68218,80.0
32544,WA,-122.33673,47.62438,19.0
32545,MN,-93.94694,46.48174,19.0
32546,MI,-83.87777,42.5886,12.0
32547,TX,-94.96764,33.15033,20.0
32548,TX,-97.38459,27.74891,0.0
32549,FL,-82.739776,28.07825,24.0
32550,MI,-87.0763,45.75281,36.0
32551,AL,-86.629005,33.63945,33.0
32552,VA,-76.751345,37.27561,18.0
32553,ME,-70.36725,43.66041,24.0
32554,IL,-91.39885,39.93251,15.0
32555,MN,-93.08127,44.90209,20.0
32556,NC,-80.661515,35.083715,30.0
32557,FL,-81.72171,26.15549,23.0
32558,MD,-76.616465,39.31659,19.0
32559,MA,-72.24824,42.25692,24.0
32560,MD,-77.12613,39.05842,46.0
32561,CA,-122.328585,37.93215,17.0
32562,AZ,-111.487,36.90549,79.0
32563,TN,-86.892035,35.74141,
32564,MA,-71.698035,42.220385,24.0
32565,GA,-84.39537,34.06377,20.0
32566,IN,-84.890135,39.828505,20.0
32567,AL,-86.89577,33.51228,100.0
32568,IL,-87.78337,41.975195,24.0
32569,WA,-119.09614,46.24147,29.0
32570,IN,-85.77969,38.68553,20.0
32571,IL,-87.97883,41.889739,20.0
32572,CA,-122.23167,37.79828,70.0
32573,IL,-87.680263,41.67789,20.0
32574,FL,-82.59933,27.49516,24.0
32575,IN,-85.22303,39.30524,23.0
32576,CO,-105.23637,40.01602,44.0
32577,PA,-75.608718,41.47033,19.0
32578,NC,-81.68114,35.73949,51.0
32579,NY,-76.996157,43.060845,117.0
32580,MD,-76.62292,39.13821,46.0
32581,NY,-78.89,42.90507,22.0
32582,NY,-77.039757,42.140265,8.0
32583,CA,-121.969135,37.26285,2.0
32584,SC,-80.16771,32.96851,24.0
32585,MI,-84.43419,42.23894,24.0
32586,VA,-76.121405,36.78192,20.0
32587,CA,-117.24557,33.16459,30.0
32588,FL,-81.90046,26.415605,24.0
32589,TX,-95.953695,28.982875,92.0
32590,NY,-75.43942,43.22961,47.0
32591,FL,-82.514559,27.338065,11.0
32592,MS,-90.71429,33.75234,18.0
32593,MA,-72.62987,42.090165,144.0
32594,LA,-91.16753,30.58872,39.0
32595,IL,-87.837955,41.71868,24.0
32596,NC,-78.57902,35.51706,24.0
32597,CA,-118.470559,34.002703,7.0
32598,NJ,-74.10654,40.42868,48.0
32599,KY,-85.782835,38.180155,20.0
32600,SC,-80.937215,34.14022,14.0
32601,WA,-122.108195,48.002366,38.0
32602,IN,-86.51025,40.27941,24.0
32603,PA,-79.82528,41.39389,40.0
32604,KY,-88.68877,37.08312,1.0
32605,TX,-97.743437,30.267405,24.0
32606,TX,-97.79527,30.46772,52.0
32607,IL,-89.18648,37.73776,100.0
32608,NY,-78.885652,42.893655,24.0
32609,FL,-80.390076,27.633045,5.0
32610,TX,-102.35969,31.85703,19.0
32611,MS,-90.7137,33.7555,20.0
32612,IL,-88.03512,42.36007,2.0
32613,VA,-77.55602,37.63907,20.0
32614,OH,-84.50238,39.14117,70.0
32615,NH,-70.83442,42.94535,23.0
32616,PA,-76.96177,39.760895,24.0
32617,IN,-87.06243,41.4596,19.0
32618,CA,-117.02438,32.76521,26.0
32619,FL,-81.33079,28.48055,17.0
32620,AK,-149.43567,60.12637,20.0
32621,CA,-116.35753,33.72044,19.0
32622,FL,-80.09102,26.57105,24.0
32623,TX,-96.70023,32.9329,24.0
32624,NY,-77.685267,43.18534,9.0
32625,PA,-75.24357,40.24028,64.0
32626,CA,-119.86175,36.77243,394.0
32627,FL,-82.41256,27.75204,24.0
32628,CA,-117.89041,33.787,80.0
